,class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
42,building ,1.87,494,1.3,208.3,1.94,1.89,183.8,232.31,208.79,8.44,8.64,8.95,1.07,0.41,0.75,6.54,1.94,0.35,-0.12,168,3064.44,1.83,1732,0.74,210.94,1.39,1.93,185.55,235.23,212.02,9.55,8.76,9.21,1.76,0.51,0.85,6.65,2.01,0.63,-0.12,322,2134.55,1.73,1880,0.87,209.57,1.26,1.83,184.17,233.77,210.76,10.53,10.02,10.16,1.82,0.62,0.89,6.85,1.99,0.62,-0.12,318,1907.41,1.73,1880,0.87,209.57,1.26,1.83,184.17,233.77,210.76,10.53,10.02,10.16,1.82,0.62,0.89,6.85,1.99,0.62,-0.12,318,1907.41,1.73,1880,0.87,209.57,1.26,1.83,184.17,233.77,210.76,10.53,10.02,10.16,1.82,0.62,0.89,6.85,1.99,0.62,-0.12,318,1907.41,3.63,9253,1.56,221.07,2.3,3.66,205.8,236.04,221.37,20.83,18.9,20.8,1.13,0.87,0.71,8.13,1.97,0.36,-0.07,1410,905.99,3.63,9253,1.56,221.07,2.3,3.66,205.8,236.04,221.37,20.83,18.9,20.8,1.13,0.87,0.71,8.13,1.97,0.36,-0.07,1410,905.99
43,tree ,1.0,65,0.21,131.76,1.23,1.12,182.75,95.2,117.32,14.64,15.24,14.83,1.25,0.68,0.88,6.11,1.88,0.19,0.31,36,2738.38,3.36,917,2.1,115.72,4.08,3.67,153.26,89.95,103.96,26.25,21.89,20.56,2.02,0.82,0.43,8.33,1.23,0.73,0.26,444,1414.78,3.56,2069,2.04,111.73,2.68,4.14,147.8,86.37,101.03,27.29,20.66,20.01,3.0,0.83,0.54,8.65,1.17,0.88,0.26,754,1182.69,2.88,3288,1.79,119.82,2.17,3.46,156.37,94.25,108.83,35.05,26.01,25.2,3.37,0.89,0.68,8.94,1.29,0.9,0.25,794,748.46,2.42,3471,1.73,117.03,2.05,2.91,152.67,91.98,106.44,37.86,27.34,26.79,3.37,0.91,0.71,9.02,1.35,0.9,0.25,686,641.86,2.36,6939,1.51,108.45,3.03,2.61,142.19,84.74,98.43,46.86,31.25,31.84,2.43,0.94,0.66,9.17,1.37,0.92,0.25,870,438.78,2.36,6939,1.51,108.45,3.03,2.61,142.19,84.74,98.43,46.86,31.25,31.84,2.43,0.94,0.66,9.17,1.37,0.92,0.25,870,438.78
44,concrete ,2.94,599,1.68,229.04,2.62,3.25,202.44,242.0,242.67,7.56,6.97,7.34,2.07,0.61,0.55,6.69,1.44,0.7,-0.09,318,2680.65,1.95,2557,0.8,225.78,1.6,1.99,199.03,239.07,239.25,9.2,9.61,10.1,1.06,0.69,0.86,6.89,2.27,0.27,-0.09,402,1734.18,2.83,6335,1.16,225.56,1.94,3.43,199.14,238.33,239.21,9.08,9.32,9.44,3.54,0.64,0.78,6.94,1.52,0.87,-0.09,1092,1977.69,3.24,7824,1.48,227.81,2.48,3.54,201.84,240.38,241.2,10.61,9.9,9.83,2.23,0.73,0.76,7.21,1.66,0.82,-0.09,1252,1670.52,3.78,12358,1.29,226.04,2.48,4.3,200.55,238.4,239.17,14.51,15.85,15.14,2.78,0.71,0.69,7.48,1.51,0.87,-0.09,1912,1430.94,3.72,12394,1.29,225.71,2.48,4.23,200.24,238.06,238.84,15.74,17.26,16.52,2.78,0.71,0.69,7.49,1.51,0.87,-0.09,1882,1296.11,4.52,16276,1.9,223.16,3.39,5.56,198.69,235.21,235.57,20.02,21.97,21.4,3.75,0.72,0.62,7.77,1.39,0.8,-0.08,2836,1169.53
45,asphalt ,1.75,786,1.66,66.32,2.14,1.87,58.67,67.97,72.32,11.86,7.99,8.06,1.87,0.66,0.69,6.94,1.59,0.75,-0.07,210,2172.83,1.75,786,1.66,66.32,2.14,1.87,58.67,67.97,72.32,11.86,7.99,8.06,1.87,0.66,0.69,6.94,1.59,0.75,-0.07,210,2172.83,2.03,1159,1.89,60.51,2.09,2.09,54.68,61.13,65.71,16.75,14.64,14.51,1.44,0.79,0.61,7.51,1.61,0.48,-0.06,284,1573.08,3.2,1354,3.8,64.33,6.57,3.3,64.33,61.47,67.2,31.01,16.14,16.44,1.46,0.86,0.52,7.9,1.24,0.56,0.02,486,913.32,2.51,2019,2.38,57.06,3.9,2.83,59.3,53.15,58.75,27.62,18.66,18.94,2.63,0.83,0.45,7.96,1.13,0.76,0.05,508,1043.82,2.51,2019,2.38,57.06,3.9,2.83,59.3,53.15,58.75,27.62,18.66,18.94,2.63,0.83,0.45,7.96,1.13,0.76,0.05,508,1043.82,2.51,2019,2.38,57.06,3.9,2.83,59.3,53.15,58.75,27.62,18.66,18.94,2.63,0.83,0.45,7.96,1.13,0.76,0.05,508,1043.82
46,shadow ,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18
47,tree ,1.71,170,1.21,165.36,1.71,2.03,217.84,132.48,145.76,17.98,18.17,17.72,2.9,0.72,0.75,6.93,1.51,0.78,0.24,106,2138.41,1.71,170,1.21,165.36,1.71,2.03,217.84,132.48,145.76,17.98,18.17,17.72,2.9,0.72,0.75,6.93,1.51,0.78,0.24,106,2138.41,3.03,803,2.41,163.75,3.38,3.16,194.33,146.23,150.7,32.91,28.05,25.9,1.28,0.83,0.52,7.98,1.6,0.31,0.14,358,1054.47,3.03,803,2.41,163.75,3.38,3.16,194.33,146.23,150.7,32.91,28.05,25.9,1.28,0.83,0.52,7.98,1.6,0.31,0.14,358,1054.47,3.49,1323,2.83,177.46,5.22,3.64,195.75,167.06,169.58,29.31,36.19,33.55,1.54,0.83,0.64,8.16,1.56,0.44,0.08,530,1086.63,3.49,1323,2.83,177.46,5.22,3.64,195.75,167.06,169.58,29.31,36.19,33.55,1.54,0.83,0.64,8.16,1.56,0.44,0.08,530,1086.63,3.49,1323,2.83,177.46,5.22,3.64,195.75,167.06,169.58,29.31,36.19,33.55,1.54,0.83,0.64,8.16,1.56,0.44,0.08,530,1086.63
48,concrete ,1.93,1417,0.91,215.23,1.97,3.06,189.18,227.68,228.83,7.56,6.87,6.9,7.74,0.54,0.79,6.73,0.97,0.98,-0.09,460,2752.27,1.77,2667,1.07,217.59,1.62,3.24,191.11,230.32,231.34,8.14,7.7,7.65,11.12,0.55,0.78,6.83,0.81,0.99,-0.09,670,2497.82,1.77,2667,1.07,217.59,1.62,3.24,191.11,230.32,231.34,8.14,7.7,7.65,11.12,0.55,0.78,6.83,0.81,0.99,-0.09,670,2497.82,1.83,8136,1.69,210.65,1.78,3.95,188.79,220.91,222.26,13.34,13.27,12.79,16.55,0.68,0.8,7.64,0.68,0.99,-0.08,1424,1961.27,1.82,8340,1.64,209.89,1.71,3.95,188.63,219.8,221.25,14.12,15.47,14.57,16.76,0.71,0.79,7.69,0.68,0.99,-0.08,1444,1784.18,1.82,8340,1.64,209.89,1.71,3.95,188.63,219.8,221.25,14.12,15.47,14.57,16.76,0.71,0.79,7.69,0.68,0.99,-0.08,1444,1784.18,1.82,8340,1.64,209.89,1.71,3.95,188.63,219.8,221.25,14.12,15.47,14.57,16.76,0.71,0.79,7.69,0.68,0.99,-0.08,1444,1784.18
49,pool ,1.23,138,0.73,140.6,1.37,1.36,76.49,146.42,198.89,16.47,16.49,13.79,2.33,0.62,0.84,6.47,1.69,0.74,-0.31,64,2277.82,1.09,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92,1.09,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92,1.09,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92,1.09,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92,1.09,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92,1.09,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92
50,grass ,1.78,363,1.22,171.69,1.59,1.92,185.1,164.39,165.57,9.46,10.37,10.06,2.0,0.66,0.8,6.6,1.68,0.74,0.06,146,2187.76,2.46,689,1.75,165.2,2.17,2.53,179.41,156.5,159.69,15.63,14.81,13.03,1.29,0.68,0.62,7.24,1.71,0.32,0.07,266,1997.95,2.46,689,1.75,165.2,2.17,2.53,179.41,156.5,159.69,15.63,14.81,13.03,1.29,0.68,0.62,7.24,1.71,0.32,0.07,266,1997.95,3.93,2753,1.75,178.16,2.97,4.04,173.43,180.19,180.86,34.13,38.04,36.8,1.4,0.81,0.58,8.67,1.64,0.47,-0.02,848,1237.32,3.72,3325,1.4,168.94,2.52,3.77,167.21,168.84,170.78,39.6,45.35,43.24,1.34,0.85,0.69,8.91,1.79,0.5,0.0,870,1026.61,3.72,3325,1.4,168.94,2.52,3.77,167.21,168.84,170.78,39.6,45.35,43.24,1.34,0.85,0.69,8.91,1.79,0.5,0.0,870,1026.61,3.72,3325,1.4,168.94,2.52,3.77,167.21,168.84,170.78,39.6,45.35,43.24,1.34,0.85,0.69,8.91,1.79,0.5,0.0,870,1026.61
51,grass ,2.98,437,1.66,160.74,2.84,3.06,175.86,153.09,153.26,7.39,8.6,8.06,1.29,0.49,0.61,6.66,1.61,0.49,0.07,256,3238.98,3.25,1109,1.74,164.68,2.52,3.47,178.23,157.71,158.1,9.08,11.95,11.54,1.75,0.63,0.67,7.03,1.62,0.69,0.06,462,2468.2,3.85,3991,1.37,170.97,2.38,3.93,186.84,163.18,162.87,16.24,14.8,13.39,1.4,0.82,0.73,7.66,1.92,0.33,0.07,994,1042.48,4.84,6286,1.64,172.27,2.69,5.0,186.89,164.99,164.91,15.9,17.67,16.26,1.53,0.8,0.7,7.8,1.84,0.5,0.06,1586,1183.57,4.34,7079,1.42,175.38,2.43,4.49,189.03,168.58,168.52,17.0,21.07,19.94,1.57,0.82,0.7,7.95,1.91,0.54,0.06,1512,1152.62,4.08,7554,1.33,177.37,2.22,4.22,190.1,171.19,170.82,17.11,22.92,21.42,1.6,0.83,0.72,7.98,1.91,0.57,0.05,1468,1126.19,4.08,7554,1.33,177.37,2.22,4.22,190.1,171.19,170.82,17.11,22.92,21.42,1.6,0.83,0.72,7.98,1.91,0.57,0.05,1468,1126.19
52,concrete ,3.11,465,1.27,233.83,3.25,3.18,209.47,246.09,245.94,5.1,5.1,5.31,1.44,0.24,0.66,6.14,1.69,0.45,-0.08,274,4258.51,3.88,2021,1.88,233.76,3.36,4.27,208.34,246.39,246.56,6.84,6.08,6.08,2.42,0.55,0.48,6.62,1.16,0.87,-0.08,768,2722.96,2.33,15984,0.97,228.55,1.41,2.39,203.89,241.04,240.71,8.91,8.5,8.51,1.54,0.67,0.87,6.85,2.3,0.31,-0.08,1208,1708.19,2.28,16004,0.97,228.46,1.41,2.35,203.81,240.96,240.62,9.23,8.89,8.94,1.54,0.67,0.87,6.86,2.31,0.31,-0.08,1188,1609.9,2.28,16004,0.97,228.46,1.41,2.35,203.81,240.96,240.62,9.23,8.89,8.94,1.54,0.67,0.87,6.86,2.31,0.31,-0.08,1188,1609.9,2.95,19965,2.36,229.35,2.86,3.5,204.31,241.83,241.9,11.14,10.63,10.37,3.27,0.7,0.62,7.13,1.6,0.77,-0.08,1978,1530.34,2.95,19965,2.36,229.35,2.86,3.5,204.31,241.83,241.9,11.14,10.63,10.37,3.27,0.7,0.62,7.13,1.6,0.77,-0.08,1978,1530.34
53,asphalt ,2.13,756,1.03,70.45,2.4,2.36,58.86,73.05,79.45,8.1,7.7,8.0,2.4,0.57,0.75,6.71,1.64,0.77,-0.11,260,2870.95,2.66,1879,1.14,71.62,2.02,3.22,60.09,74.1,80.68,13.45,12.81,12.54,3.47,0.68,0.74,7.33,1.43,0.9,-0.1,558,2026.31,2.56,1893,1.14,72.27,2.01,3.09,60.7,74.77,81.35,15.51,15.29,15.03,3.47,0.69,0.74,7.38,1.44,0.9,-0.1,538,1737.99,2.57,1922,1.14,73.29,2.1,3.14,61.74,75.74,82.39,17.85,17.42,17.39,3.57,0.72,0.74,7.43,1.42,0.9,-0.1,550,1490.95,2.51,2644,1.31,70.37,2.05,2.83,62.73,70.54,77.83,28.44,23.43,23.93,2.57,0.85,0.76,7.91,1.56,0.82,-0.06,582,797.59,2.51,2644,1.31,70.37,2.05,2.83,62.73,70.54,77.83,28.44,23.43,23.93,2.57,0.85,0.76,7.91,1.56,0.82,-0.06,582,797.59,2.51,2644,1.31,70.37,2.05,2.83,62.73,70.54,77.83,28.44,23.43,23.93,2.57,0.85,0.76,7.91,1.56,0.82,-0.06,582,797.59
54,concrete ,1.87,720,0.84,206.45,1.78,2.2,181.17,218.25,219.93,6.81,8.01,7.62,3.03,0.36,0.77,6.47,1.72,0.75,-0.09,236,3562.64,2.31,1266,1.11,206.69,1.9,2.92,183.3,217.37,219.4,11.17,12.25,11.41,3.99,0.67,0.8,7.0,1.51,0.86,-0.09,416,1884.29,1.91,10882,1.57,214.26,2.03,3.87,189.11,225.87,227.8,10.56,11.29,10.75,14.26,0.67,0.73,7.18,0.68,1.0,-0.09,1616,1856.31,1.94,11116,1.55,214.42,2.0,3.91,189.77,225.73,227.76,11.74,11.74,11.05,14.16,0.7,0.73,7.23,0.69,1.0,-0.09,1650,1591.04,1.94,11116,1.55,214.42,2.0,3.91,189.77,225.73,227.76,11.74,11.74,11.05,14.16,0.7,0.73,7.23,0.69,1.0,-0.09,1650,1591.04,5.35,51578,5.12,216.24,13.24,6.86,191.17,227.91,229.64,12.03,12.62,12.12,4.35,0.75,0.23,7.36,0.44,0.95,-0.09,6236,1428.81,5.35,51578,5.12,216.24,13.24,6.86,191.17,227.91,229.64,12.03,12.62,12.12,4.35,0.75,0.23,7.36,0.44,0.95,-0.09,6236,1428.81
55,soil ,2.44,397,1.27,237.52,2.58,2.51,220.59,248.17,243.78,5.57,5.03,6.3,1.06,0.63,0.68,6.07,1.83,0.21,-0.06,200,2466.27,2.69,1855,1.57,237.91,2.6,3.06,217.21,249.24,247.28,7.98,5.77,6.85,2.77,0.77,0.66,6.65,1.53,0.78,-0.07,528,1581.24,2.69,1855,1.57,237.91,2.6,3.06,217.21,249.24,247.28,7.98,5.77,6.85,2.77,0.77,0.66,6.65,1.53,0.78,-0.07,528,1581.24,3.07,2151,1.83,236.25,2.9,3.37,216.33,247.02,245.4,11.89,11.43,11.08,2.31,0.78,0.61,6.82,1.47,0.72,-0.07,626,1026.2,4.05,7846,2.24,237.64,3.64,4.21,214.51,249.67,248.73,8.44,7.44,7.52,1.71,0.76,0.48,6.53,1.33,0.65,-0.08,1490,1274.22,4.05,7846,2.24,237.64,3.64,4.21,214.51,249.67,248.73,8.44,7.44,7.52,1.71,0.76,0.48,6.53,1.33,0.65,-0.08,1490,1274.22,4.05,7846,2.24,237.64,3.64,4.21,214.51,249.67,248.73,8.44,7.44,7.52,1.71,0.76,0.48,6.53,1.33,0.65,-0.08,1490,1274.22
56,shadow ,1.48,334,0.79,39.04,1.51,1.7,40.48,35.25,41.4,8.16,6.47,6.8,2.57,0.59,0.84,6.41,1.73,0.78,0.07,124,2520.11,1.11,419,0.45,41.7,1.32,1.27,42.94,37.82,44.33,10.64,8.93,9.16,2.47,0.67,0.89,6.63,1.85,0.73,0.06,104,2170.18,1.15,545,0.38,52.6,1.25,1.29,58.14,46.18,53.48,32.23,20.06,21.21,2.35,0.88,0.9,7.28,1.86,0.74,0.11,120,952.35,1.15,545,0.38,52.6,1.25,1.29,58.14,46.18,53.48,32.23,20.06,21.21,2.35,0.88,0.9,7.28,1.86,0.74,0.11,120,952.35,1.15,545,0.38,52.6,1.25,1.29,58.14,46.18,53.48,32.23,20.06,21.21,2.35,0.88,0.9,7.28,1.86,0.74,0.11,120,952.35,1.15,545,0.38,52.6,1.25,1.29,58.14,46.18,53.48,32.23,20.06,21.21,2.35,0.88,0.9,7.28,1.86,0.74,0.11,120,952.35,1.15,545,0.38,52.6,1.25,1.29,58.14,46.18,53.48,32.23,20.06,21.21,2.35,0.88,0.9,7.28,1.86,0.74,0.11,120,952.35
57,building ,1.13,870,0.32,234.09,1.18,1.15,198.51,251.64,252.12,7.26,4.91,4.4,1.06,0.38,0.97,6.54,2.27,0.11,-0.12,136,3373.18,1.13,870,0.32,234.09,1.18,1.15,198.51,251.64,252.12,7.26,4.91,4.4,1.06,0.38,0.97,6.54,2.27,0.11,-0.12,136,3373.18,1.13,887,0.35,233.26,1.15,1.14,197.8,250.67,251.33,8.9,8.6,7.28,1.06,0.42,0.96,6.57,2.27,0.12,-0.12,136,2606.48,1.13,887,0.35,233.26,1.15,1.14,197.8,250.67,251.33,8.9,8.6,7.28,1.06,0.42,0.96,6.57,2.27,0.12,-0.12,136,2606.48,3.16,7166,1.63,230.14,2.23,3.17,210.39,239.57,240.47,16.26,16.69,16.02,1.13,0.85,0.59,7.73,1.9,0.11,-0.06,1074,1018.77,3.16,7166,1.63,230.14,2.23,3.17,210.39,239.57,240.47,16.26,16.69,16.02,1.13,0.85,0.59,7.73,1.9,0.11,-0.06,1074,1018.77,3.1,8201,1.79,225.68,2.65,3.13,208.5,233.84,234.69,18.28,23.17,22.78,1.21,0.86,0.68,7.89,1.93,0.24,-0.06,1134,922.94
58,grass ,1.96,111,1.37,153.49,1.99,2.14,180.47,134.51,145.48,13.09,18.05,14.85,1.31,0.61,0.72,6.49,1.68,0.16,0.15,90,2804.09,1.27,192,0.54,139.33,1.63,1.37,161.64,123.57,132.79,29.19,22.83,22.13,1.85,0.88,0.84,7.01,1.85,0.57,0.13,76,786.72,1.27,192,0.54,139.33,1.63,1.37,161.64,123.57,132.79,29.19,22.83,22.13,1.85,0.88,0.84,7.01,1.85,0.57,0.13,76,786.72,1.27,192,0.54,139.33,1.63,1.37,161.64,123.57,132.79,29.19,22.83,22.13,1.85,0.88,0.84,7.01,1.85,0.57,0.13,76,786.72,1.27,192,0.54,139.33,1.63,1.37,161.64,123.57,132.79,29.19,22.83,22.13,1.85,0.88,0.84,7.01,1.85,0.57,0.13,76,786.72,5.14,4467,3.26,181.89,6.06,5.58,172.35,185.22,188.1,34.79,44.3,41.46,2.16,0.87,0.53,8.96,1.17,0.63,-0.04,1492,923.05,3.95,7345,2.55,168.78,4.2,4.38,158.35,172.78,175.19,45.36,51.18,49.0,2.46,0.91,0.61,9.24,1.27,0.82,-0.04,1502,643.55
59,car ,1.91,28,1.58,173.1,2.57,1.98,155.18,179.82,184.29,23.86,25.81,27.76,1.13,0.32,0.43,5.5,1.19,0.72,-0.07,42,6351.55,1.24,65,0.71,200.84,1.52,1.3,180.77,208.91,212.85,35.22,40.04,40.16,1.22,0.58,0.78,6.24,1.75,0.3,-0.07,42,3584.93,1.24,65,0.71,200.84,1.52,1.3,180.77,208.91,212.85,35.22,40.04,40.16,1.22,0.58,0.78,6.24,1.75,0.3,-0.07,42,3584.93,2.92,957,1.95,155.78,3.73,3.12,185.29,137.29,144.76,24.98,34.01,31.01,1.76,0.68,0.46,8.17,1.28,0.68,0.15,386,2257.5,2.61,1038,2.01,148.98,3.37,2.79,177.64,130.84,138.47,36.48,39.78,37.16,1.79,0.82,0.48,8.27,1.35,0.62,0.15,360,1188.14,2.88,4057,1.83,154.09,2.77,2.91,177.31,139.38,145.57,38.97,39.07,35.56,1.3,0.88,0.59,8.84,1.67,0.66,0.12,742,781.94,2.88,4057,1.83,154.09,2.77,2.91,177.31,139.38,145.57,38.97,39.07,35.56,1.3,0.88,0.59,8.84,1.67,0.66,0.12,742,781.94
60,concrete ,1.64,899,0.7,222.96,1.45,2.02,198.72,234.39,235.76,6.13,7.07,7.09,3.66,0.41,0.91,6.38,1.55,0.89,-0.08,242,3345.15,2.7,1593,1.98,223.9,3.0,2.94,201.41,234.61,235.68,9.18,8.13,8.35,2.14,0.67,0.61,6.84,1.38,0.83,-0.08,470,1991.09,3.41,2009,2.93,221.53,4.14,4.07,199.29,232.08,233.23,10.95,10.35,10.37,3.2,0.75,0.52,7.09,1.03,0.89,-0.08,730,1551.44,4.15,2182,3.14,220.14,4.44,4.71,199.51,229.71,231.21,12.32,15.21,14.31,2.7,0.74,0.51,7.23,1.01,0.89,-0.07,880,1516.25,6.51,3304,4.1,215.47,9.03,6.57,201.19,221.86,223.35,15.95,23.84,23.03,1.11,0.78,0.17,7.64,0.85,0.47,-0.05,1510,1377.56,6.51,3304,4.1,215.47,9.03,6.57,201.19,221.86,223.35,15.95,23.84,23.03,1.11,0.78,0.17,7.64,0.85,0.47,-0.05,1510,1377.56,6.51,3304,4.1,215.47,9.03,6.57,201.19,221.86,223.35,15.95,23.84,23.03,1.11,0.78,0.17,7.64,0.85,0.47,-0.05,1510,1377.56
61,building ,1.87,3645,0.75,236.75,1.55,1.97,204.59,252.82,252.83,5.72,3.22,3.29,1.78,0.24,0.86,6.32,2.05,0.62,-0.11,476,3634.8,1.96,4213,0.76,236.53,1.42,2.1,204.11,252.71,252.76,6.14,3.43,3.43,2.05,0.37,0.9,6.4,2.01,0.66,-0.11,544,3271.57,1.99,5697,0.88,235.15,1.19,2.16,202.58,251.42,251.45,8.87,7.31,7.25,2.24,0.56,0.93,6.67,2.0,0.69,-0.11,652,2000.93,1.99,5697,0.88,235.15,1.19,2.16,202.58,251.42,251.45,8.87,7.31,7.25,2.24,0.56,0.93,6.67,2.0,0.69,-0.11,652,2000.93,1.81,5745,0.89,234.48,1.17,1.97,201.97,250.73,250.74,11.81,11.28,11.45,2.25,0.6,0.94,6.72,2.01,0.69,-0.11,598,1310.56,1.48,5878,0.49,232.68,1.16,1.61,200.28,248.85,248.9,17.83,18.65,18.62,2.22,0.68,0.96,6.8,2.04,0.68,-0.11,494,819.63,1.48,5878,0.49,232.68,1.16,1.61,200.28,248.85,248.9,17.83,18.65,18.62,2.22,0.68,0.96,6.8,2.04,0.68,-0.11,494,819.63
62,building ,1.22,2137,0.74,234.44,1.15,1.27,215.35,252.66,235.32,6.64,3.62,7.41,1.62,0.34,0.92,6.51,2.18,0.5,-0.08,234,3258.83,1.25,2209,0.72,234.27,1.25,1.29,215.73,252.1,234.98,7.16,5.43,7.84,1.43,0.36,0.89,6.58,2.21,0.45,-0.08,242,3146.61,1.46,3154,1.21,233.46,1.56,1.48,217.11,250.56,232.72,10.61,8.89,10.07,1.2,0.54,0.75,6.92,2.08,0.37,-0.07,332,2164.08,1.46,3154,1.21,233.46,1.56,1.48,217.11,250.56,232.72,10.61,8.89,10.07,1.2,0.54,0.75,6.92,2.08,0.37,-0.07,332,2164.08,1.46,3154,1.21,233.46,1.56,1.48,217.11,250.56,232.72,10.61,8.89,10.07,1.2,0.54,0.75,6.92,2.08,0.37,-0.07,332,2164.08,1.46,3154,1.21,233.46,1.56,1.48,217.11,250.56,232.72,10.61,8.89,10.07,1.2,0.54,0.75,6.92,2.08,0.37,-0.07,332,2164.08,1.46,3154,1.21,233.46,1.56,1.48,217.11,250.56,232.72,10.61,8.89,10.07,1.2,0.54,0.75,6.92,2.08,0.37,-0.07,332,2164.08
63,concrete ,2.12,266,1.47,232.18,2.07,2.21,206.54,244.22,245.79,6.16,4.93,5.53,1.14,0.52,0.78,6.19,1.88,0.19,-0.08,144,2943.35,2.32,1095,1.5,232.5,1.93,2.55,208.36,244.07,245.08,6.55,7.01,6.83,2.19,0.49,0.74,6.51,1.61,0.81,-0.08,338,3087.91,2.05,4368,1.27,224.42,1.98,2.22,202.85,234.48,235.94,13.07,13.26,12.99,2.19,0.75,0.71,7.16,1.61,0.82,-0.07,586,1245.19,2.05,4368,1.27,224.42,1.98,2.22,202.85,234.48,235.94,13.07,13.26,12.99,2.19,0.75,0.71,7.16,1.61,0.82,-0.07,586,1245.19,1.93,4606,1.17,222.97,1.87,2.08,201.51,232.96,234.43,15.35,15.93,15.59,2.19,0.76,0.74,7.24,1.68,0.81,-0.07,566,1094.04,1.93,4606,1.17,222.97,1.87,2.08,201.51,232.96,234.43,15.35,15.93,15.59,2.19,0.76,0.74,7.24,1.68,0.81,-0.07,566,1094.04,1.93,4606,1.17,222.97,1.87,2.08,201.51,232.96,234.43,15.35,15.93,15.59,2.19,0.76,0.74,7.24,1.68,0.81,-0.07,566,1094.04
